丫	Daemon	Yaya
波啤令	Wave order	Wave Beer
波波	Wave	Bobo
波缽	Wave bowl	Wave Bowls
波場	Wave field	Wave field
波大冇腦	Bobo	Wave big brain
波飛	Fly	Wave Fly
波衭	Pheasant	Pseulote
波監	Wave supervision	Wave monitor
波經	Wave scripture	Wave Warp
波棍	Ripple	Wave stick
波鞋	Shoe	Sneakers
BOY	Boy	BOY
波友	Wave friend	Boyo
㩧	Bleak	
卜	predict	Bu
扑	flutter	flutter
博	Blog	Bo
壆	Bleak	Pok
搏	Fight	Fight
膊	shoulder	Shoulders
駁	barge	Refuter
薄	Thin	THIN
雹	hail	Hail
薄餅	Cake	Pizza
卜卜聲	Sheng	Voice of Bu
㩧㩧齋	Martial arts	zhai
搏炒	Stir -fry	Stir-fry
薄切切	Cut	THIN CUT
搏彩	Fight	Fight Color
搏到盡	Fight	Fight to the best
駁火	Refute	Fire
薄荷賓治	Binbinzhi	Peppermint Benji
搏好分	Score	Fight good points
卜一聲	Be	Bu a voice
扑一鑊	Push	A Wok
扑嘢	Flutter	Flap-Yeah
薄英英	Bo Yingying	Bok Ying
薄絨	Fluffy	Thin Fleece
薄落	Flickering	Thin
卜佬	Guy	Svu
搏亂	Rampant	Disruption
扑咪	Flutter	Pounce
搏命	Fight	Fight Life
搏懵	Fight	Mess
薄皮	Leather	Thin Skin
搏殺	Fight	Fight Kills
扑濕	Wet	wetting
卜成	Puppet	Bu Cheng
膊頭	Shirt	Shoulders
扑頭黨	Pushing party	Head-bashing Party
搏扎	Buling	Struggle
波罅	Pheasant	Pseulote
波纜	Wave cable	Wave Cable
波纜紙	Wave cable paper	Cable Paper
波樓	Wave building	Wave House
玻璃幕牆	Glass curtain wall	Glass curtain wall
玻璃生菜	Glass Lettuce	Glass Lettuce
菠蘿	Pineapple	PINEAPPLE
菠蘿包	Pineapple Bun	Pineapple Bun
菠蘿賓治	Pineapple	Pineapple Benji
菠蘿雞	Pineapple chicken	Chicken with pineapple
菠蘿蓋	Pineapple	Pineapple cover
菠蘿油	Pineapple oil	Pineapple oil
波馬纜	Boga cable	Boma Cable
波馬纜紙	Boma cable paper	Boma cable paper
波迷	Wave fan	Wave fans
波帽	Wave hat	Wave cap
幫	help	help
榜	List	List
綁	tie	Tied
傍	Beside	Pong
磅	pound	Lbs
磅	pound	Lbs
波牛	Bull	Wave cow
幫辦	deputy	Help
幫辦仔	Help	Help Boy
幫襯	Help	Liner
幫吓眼	Frightened eye	Help scare eyes
傍友	Friendly friend	Pong Friends
幫唔到	Help	Can't help
幫手	helper	HELPHAND
磅水	Pound water	Pound water
綁樹黨	Tie party	Tying Tree Party
幫拖	Gang	Gang drag
波衫	Wave shirt	Wave shirt
波神	Wave god	God of waves
波裇	Pheasant	Wave Shirt
波士	Bost	BOSs
波箱	Wave box	wave box
波箱油	Shifting oil	Wave box oil
波枱	Wave table	Wave Table
煲	pot	Casserole
缹	Bleak	
保	Save	Preservation
堡	Fortress	Fort
寶	precious	Pou
補	repair	Complement
褓	Bleak	swaddle
佈	cloth	cloth
埔	Pad	Pu
報	Report	Newspaper
布	cloth	Cloth
怖	terror	Terror
哺	feed	Feeding
埗	Bleak	Po
埠	port	Port
捕	catch	Catch
暴	Violent	Storm
步	step	Step
簿	book	BOOK
菢	hatch	
部	department	Department
埗	Bleak	Po
暴	Violent	Storm
簿	book	BOOK
布波	Cloth wave	Bubo
布波族	Bobo	Bubo
煲茶	Tea	Casserole Tea
補倉	Make up	Makup warehouse
報串	Report	Report string
報大數	Large number	Report the large number
菢竇	Sinus	sinus
布甸	Budian	pudding
報定案	Make a case	Report the case
煲電話粥	Porridge	Casserole on the phone
煲冬瓜	Cooker	Boil Winter Melon
補粉	Replenish powder	toner
布菲	Buffy	Buffy
步飛	Follow	Step Fly
保家	To protect the family	Preservation
報假案	False case	Reporting False Cases
簿記文員	Bookkeeper clerk	Bookkeeping Clerk
報警	Call the police	Alarm
補鞋檔	Shoe file	Shoe Files
補鞋佬	Shoe	Shoe man
暴飲暴食	Overeating	Overeating
煲煙	Cigarette	Cigarette
煲藥	Cure	Casserole
寶藥黨	Pharmaceutical Party	Bao Medicine Party
煲蠟	Chopped wax	Boilers Wax
布冧	Cloth	Plums
保齡	Barantch	bowling
保齡球	bowling	bowling
保齡球場	Bowling	Bowling Alleys
報料	Report	Reports
保良局	Baoliang Bureau	Po Leung Kuk
暴露	Expose	Exposed
煲老藕	Old cricket	Pot old lotus root
寶馬房車	BMW RV	BMW RV
褓姆	褓 褓	babysitter
褓姆車	Kaoma	babysitters
煲冇米粥	Cooked rice porridge	No Rice Congee
補䶸	Replenish	Replenishment
保安	security guard	Security
保安佬	Security guard	Security Guy
保安仔	Baozai	Security Tsai
補衫	Replenish shirt	Patch Up Shirt
報細數	Detailed report	Report Detail
補身	Make up for	Body Tonic
暴瀉	Violent diarrhea	diarrhoea
煲水	Boiling water	Boil water
補水	Hydrate	Hydration
煲水新聞	Waterproof news	Boil water news
補師	Replenishment	Respatchers
補數	Complement	Complement
煲呔	Puppet	Bow tie
煲瘹	Puppet	Pot Pot
補軚	Replenish	Fill steering wheel
煲呔曾	Cooker	Bow Tie Zeng
報攤	newsstand	Newsstand
埗頭	Tadpole	Po Tau
煲湯	Soup	Soup
補堂	Make up	Maked-up Church
補鑊	Replenish	Wok
補鑊佬	Replenish	Making-Wok Guy
保護費	Protection fees	Protection fee
補習社	Tuition agency	Tutoring Club
煲仔	Claypot	Casserole
煲仔菜	Claypot	Casserole dishes
煲仔飯	Claypot rice	Claypot rice
報紙檔	Newspaper file	Newspaper File
報紙佬	Newspaper	Newspaper guy
報紙攤	Newspaper stall	Newspaper stand
補妝	Make up	Make-up
煲粥	Porridge	Congee
波罩	Wave cover	Wave Mask
波仔	Wave	Bozai
波掣	Bun	Wave Switch
波子	Wave	wave
波子車	Wave	Wave Car
波子機	Wave machine	Wave Machine
波子跑車	Bozi sports car	Wave sports car
杯	cup	cup
盃	cup	Cup
揹	back	Back
背	back	Back
僻	secluded	secluded
焙	Bake	Baking
	Bleak	
焙乾	Dried	Baking dry
杯葛	boycott	Cup Kudzu
背光	Backlight	Backlight
杯麵	Cup Noodle	Cup Noodle
背囊	Backpack	BACKPACK
背心袋	Vest	Vest Bag
背手影	Back shadow	Back Hand Shadow
背泳	Swimming	Backstroke
背脊	Back	Back Spine
背脊痛	Back pain	Back Pain
卜	predict	Bu
卟	Bleak	Porphyria
卜	predict	Bu
卜	predict	Bu
伏	Ambush	Volt
僕	servant	Servants
曝	Expose	Exposure
瀑	waterfall	Waterfalls
ႈ	Bleak	
膯	Bleak	
卜卜聲	Sheng	Voice of Bu
卜場	Puppet	Pu-field
卜房	House	Blake room
曝光	exposure	Exposure
曝光率	Exposure	Exposure
伏伊人	Four	Voi people
伏艖艖	伏艖艖	Ambushy
卜枱	Tableta	Pu-table
卜位	Position	Bu
搬	move	Move
般	Like	like
本	Book	Ben
半	Half	Half
本地番鬼	Local ghost	Local Banki
本地薑	Ginger	Local ginger
本地薑唔辣	Local ginger is spicy	Local Ginger Spicy
本地老番	Local old	Local Old-Man
本地話	Local dialect	Local
䭰	Bleak	
埲	Bleak	
塳	Bleak	
间	between	
本港	Hong Kong	Hong Kong
半鹹半淡	Half -salty	Salty and semi-light
半鹹淡	Half salty	Semi-salty
半鹹淡廣東話	Halfly	Semi-brackish Cantonese
半夜食黃瓜	Eat cucumber in the middle of the night	Midnight eating cucumber
半์༰	Half ์ ༰	Half
半賣	Semi -selling	Half Sell
本票	Vote	present ticket
半山	Half a mountain	Mid Levels
本事	ability	The right thing
半天吊	Half a half day	Half day hanging
半條命	Half -life	Half-Life
半唐番	Ban Tang Fan	Half Tang Fan
半桶水	half glass	Half a bucket of water
搬屋	Move a house	Relocation
༭	Bleak	
砵	Bleak	Pottinger
缽	Bowl	Bowls
鉢	Bowl	Bowl
砵	Bleak	Pottinger
缽	Bowl	Bowls
鉢	Bowl	Bowl
勃	Educated	boble
撥	dial	Dial
༭༭車	༭ ༭ ༭ ༭ ༭ ༭	Car
༭༭聲	༭ ༭ ༭ ༭	
缽櫃	Pins	Cabinets
撥輪	Wheel	Dial wheel
缽頭	Bowl	Bowls
缽仔	Mighty	Pots
砵仔糕	砵 砵 cake	Pottinger Cake
砵酒	Squeak	Port wine
䟕	Bleak	
叉	cross	Forks
差	Difference	Poor
杈	branches of a tree	forks
嗏	Bleak	
嗏	Bleak	
搽	paint on	Liniment
查	check	CHECK
査	check	Check
茶	Tea	Tea
扠	cross	
茶斑蛇	Tea spots	Tea snake
茶包	tea bag	Tea bags
茶煲	Tea pot	Tea Pot
嗏嗏	Bleak	
茶餐	Tea meal	Tea Meal
茶餐廳	Tea restaurant	Tea Restaurant
差遲	Poor	Differential Lateness
䟕錯腳	䟕 䟕 䟕 䟕	Wrong foot
差錯腳	Wrong foot	Wrong foot
叉廚	Citrine	Fork Kitchen
茶膽	Tea	Tea gall
差啲	Poor	Difference
叉電	Fork electricity	Fork Power
叉電器	Fork electrical appliance	Fork Electrical Appliances
查房	Inspection	Check room
茶芥	Tea	Tea Mustard
茶隔	Tea separation	Tea Infers
查家宅	Housekee	Cha Family Residence
茶記	Tea record	Tea Kee
茶居	Tea residence	Tea House
茶腳	Tea	Tea Feet
茶瓜送飯	Tea meal	Tea melon for rice
茶果	Fruit tea	Tea fruit
差	Difference	Poor
搓	twist	Rub
猜	Guess	Guess
跴	capture	
踩	Step on	stepping
柴	firewood	Chai
踩冰	Stepping on the ice	Stepping on Ice
搓波	Rubbing wave	Rub
踩嚫你條尾	Step in your end	Tread on your tail
踩緝	Step on	Stampede
猜呈尋	Guess	Guess Seek
踩場	Stepping on the field	Stampede
踩單車	Cycling	Cycling
踩低	Stepping down	Stepping low
踩地盤	Step on the site	Stepping on the ground
搓粉板	Rubbing	Powder board
踩界	Trample	Stepping on
差館	Museum	Differential House
踩過界	Trample	Stepping Through the Bounds
差餉	Polarity	Rates
差餉單	Polar order	Rates Orders
差餉地稅	Rattal Tax	Rates and Government Tax
差餉繳納人	Paymenter	Ratepayer
柴可夫	Toshov	Tchaikov
柴可夫司機	Tosov driver	Tchaikov driver
猜飲唱靚柄	Guess and sing and sing a beautiful handle	Guess the drink
差人	Bad person	Poor Man
踩油	Stepping on oil	Oil tread
柴魚	Blewfish	Bonito
差佬	Bad guy	Bad Guy
踩撈喇	Stepping on	Trampled La
猜枚	Guess	Guess the pieces
差婆	Mothers	Poor Mother-in-law
踩死蟻	Dwarf	Stampede Ants
踩雪屐	Step in the snow	Snowshoe
柴台	Firewood	Chai Tai
柴哇哇	Thai wow	Chai whoa whoa
踩住人膊頭	Step on the top of the person	Stomp on the shoulder.
差一皮	One skin	Poor One Skin
測	Measurement	Test
㿭	Bleak	
冊	book	Book
坼	crack	
拆	dismantle	Demolition
策	Policy	policy
賊	thief	thief
賊	thief	thief
賊阿爸	Thief dad	Abba Thief
賊竇	Thief	Thief sinus
拆ට佢	Dismantle	Demolish him.
拆家	Dismantle	House dismantling
賊公	Thief	Thief
拆骨	Dismantle	Bone demolition
策騎	Ride	RIDING
賊佬	Scorch	thief
賊眉賊眼	Thief	Thief Eyebrow Thief Eye
拆息	Dismantle	Interest Rate
賊仔	Thief	Thief
賊仔帽	Thief hat	Thief Hat
拆招牌	Dismantle	Demolition of signboards
茶樓	Tea house	Tea House
茶寮	Tea	Saryo
參	Ginseng	Ginseng
慘	awful	miserable
篸	Bleak	
杉	Fir	cedar
巉	cliff	
讒	slander	
欃	comet	
㔆	Bleak	
劖	bore	
差唔多	A lot of bad	Almost.
慘綠少年	Miserable green boy	Miserable Green Boy
差妹	Girlfriend	Poor sister
午	noon	Luncheon
餐	meal	meal
剷	shovel	Shovel
產	Produce	PRODUCTION
鏟	shovel	Shovel
灿	Dazzling	
燦	Dazzling	Chan
巉	cliff	
殘	Disabled	Remnants
餐單	menu	Meal Menu
餐蛋治	Meal	Meal Egg
撐	support	Braces
撑	support	Bracket
罉	Bleak	
托	Entrust	
撐	support	Braces
撑	support	Bracket
牚	Bleak	
瞠	Dazzle	jawn
勇	Courageous	
倀	reckless	
掁	Bleak	
棖	doorpost	
勇	Courageous	
橙	orange	ORANGE
勇大雙眼	Big eyes	Large eyes
棖雞	Pheasant	Chicken
棖雞妹	Pheasant girl	Cock sister
棖雞婆	Pheasant	Grouse
托蓋	Support	Cap-cover
撐艇	Drill	Pachts
撐艇仔	Drum	Boat Boy
撐枱腳	Support	Table feet
橙核	Orange core	Orange core
橙汁	Orange juice	Orange juice
餐椅咕౸	Dining chair	Dining chair cushions
午餐	Lunch	LUNCH
餐肉治	Meal	Pork Cutlet
燦妹	Chanmei	Sister Chan
剷泥車	Shovel	Forklift truck
巉眼	Eye -catching	Eye
餐牌	menu	Menu
燦婆	Camparagam	Grandma Chan
餐室	dining room	Dining Room
餐死	Dinner	Meal to death
餐士	Meal	diner
餐枱	Dining Table	Dining table
餐搵餐食	Meals	Meal
插	Insert	Plug
查牌	Check	Card Check
差皮	Splitter	Poor skin
插飛	Plug in	Plug in Fly
差婆	Mothers	Poor Mother-in-law
插蘇	Insert the Soviet Union	Socket
插蘇頭	Sutou	Socket Head
查實	Check	CHECK
叉燒	Barbecake	Char siu
叉燒包	Barbecue	BBQ Pork Bun
差少少	Lost	Less poor
叉燒仔女	Banzai girl	BBQ Pork Girl
察	Inspect	Cha
擦	wipe	Rub
韔	Bleak	
刷	brush	brush
擦	wipe	Rub
刷	brush	brush
擦膠	Rubbing	Eraser
擦鞋	Scratching shoe	Shoeshine
擦鞋友	Shoe friends	Shoe-shine Friends
擦鞋佬	Shoe	Shoeshine
擦鞋仔	Wipe the shoe	Shoeshine
察佬	Gang	Chagao
擦紙膠	Rubbing	Wipe paper glue
抄	copy	copy
鈔	Banknote	Banknote
䙴	Bleak	
磈	rocky	
吵	Quarrel	Noisy
炒	saute	Stir-fry
摷	knock	
ೕ	Bleak	
巢	nest	Nest
皺	wrinkle	Wrinkles
炒車	Stir -fry	Fried car
炒大鑊	Stir -fry	Wok
摷到	Rush	To
炒粉	Frying powder	Fried Powder
炒飛	Fur	Fried fly
炒家	Blew up	Fried home
炒金	Cure	Fried gold
炒股票	Stir -fry stock	Stir-Fried Stock
炒貴刁	Stir -fry	Fried Kitao
炒蝦拆蟹	Stir -fried shrimp and crab	Stir-fried shrimp and crab
炒起	Stir up	Stir-fry
炒人	Fried person	Fried people
炒魷	Fry	Stir-fried squid
炒友	Fried friend	Fried Friends
炒魷魚	Fried squid	Stir-fried squid
炒冷飯	Fried rice	Fried cold rice
炒樓	Stir -up building	Fried floor
炒樓花	Stir -fry	Fried floor flower
炒老闆魷魚	Fried boss squid	Stir-fried boss squid
炒老細魷魚	Fried old fine squid	Stir-fried old fine squid
炒๺一碟	Stir -fry	Stir-fry a dish
炒孖展	Stir -fry exhibition	Stir-Fried Margin
巢ർർ	Nest	Nestlé
炒外匯	Stir -fry foreign exchange	speculation forex
炒燶	Stir -fry	Fried Rice
抄牌	Copy	Card Scribing
皺皮	Wrinkle	Wrinkles
皺皮狗	Wrinkle	Wrinkle dog
皺皮瓜	Wrinkle	Crumpled melon
皺皮瞇ർ	Wrinkle	Wrinkled skin squinting
摷身	Bodies	Body
炒鑊甘	Stir -fry	Wok sweet
炒鑊勁	Stingy	Wok Stir Fry
炒黃牛	Cod	Stir-fried sirloin
炒黃牛飛	Stir -fry	Fried sirloin fly
炒自己魷魚	Fried squid	Fry yourself squid
差仔	Bad	Aberrity
茶仔	Tea	Tea
搽脂蕩粉	Swaying powder	Lipistrous Powder
差在	Inaccurate	Poor in
搽咗面懵膏	Noodle cream	Face with ignorant cream
妻	wife	Wife
淒	sad	poignant
砌	Build	Masonry
齊	together	Qi
齊齊	Unbelievable	Qi Qi
齊葺葺	Unbelievable	Thatching
齊黑	Unscrupulous	Qi Black
淒涼	desolate	desolate
砌生豬肉	Pork	Raw Pork
齊頭	Unbelievable	Qi head
齊頭數	Countless	Number of heads
砌圖	Drawing	Puzzle
齊整	neat	Neatly
侵	Invade	Invasion
摻	Mix	Doped
唚	Bleak	
噆	Bleak	
譖	slander	
噚	Bleak	
尋	Searching	FIND
沉	Sink	sink
唚氣	Sorcery	Air
噚日	Rumor	HRi
噚日朝	噚 噚 噚	Hajiri dynasty
噚日朝早	噚 噚 噚 噚	Soichi Morning
噚晚	Late	Supper
噚晚黑	噚 噚 噚 噚 噚	Late night black
嚫	Bleak	
親	relative	Kiss
診	Diagnosis	Clinic
襯	lining	lining
趁	take advantage of	Take advantage
塵	dust	Dust
陳	List	Chan
陳	List	Chan
層	layer	Layer
曾	ever	Zeng
襯家	Family	Liner home
塵氣	Dusty	Dust
趁墟	Take advantage of the market	while Market
親力親為	Dear	Parent-hand
趁你病,攞你命	While you are sick, 命 your life	When you're sick, kill your life.
陳年舊嘢	Old Old	Old Year
親朋戚友	Relatives and friends	Relatives and Friends
陳皮	Chenpi	Chen Pei
陳皮咁舊	Chen Pi Lao	Tan Pei So Old
親生	Pension	biological
親生大佬	Biological	Biological Gangster
親生女	Biological daughter	Birth Daughter
親生仔	Biological	biological
親生仔不如近身錢	Biological biological is worse than near -body money	My life is better than close to money
趁手	conveniently	Take Your Hands
親子	Parent -child	Parent-child
緝	Arrest	Wiz
葺	repair	Thatching
七	seven	Seven
漆	paint	Lacquer
柒	Puppet	VII
賍	Bleak	
뵱	Bleak	
七七八八	Qiqi Eight Eight	Seven, seven, eight, eight.
七除八扣	Seventh -to -eight buckle	Seven minus eight deduction
七情上面	Seven emotions	Seven Love Above
七彩	Colorful	Colorful
七國咁亂	Seven Kingdoms	The Seven Kingdoms
七日鮮	Seven days fresh	Seven Days Fresh
漆油	Lacquer oil	Paints
七老八十	Seven Old Eighty	Seven. Eighty.
賍毛	Wool	Bristle
七星茶	Seven Star Tea	Seven Star Tea
賍頭	Tadpole	Head
賍頭皮	Scalp	Scalp
七仔	Qi Zi	Seven Tsai
抽	smoke	Pumped
揪	Hold	Rowing
搊	pluck	
秋	Autumn	Autumn
鞦	Autumn	swings
醜	ugly	Ugly
凑	Make up	Mindou
湊	Make up	Minato
臭	Smelly	Stinky
囚	Prisoners	Prisoner
籌	Raise	Raising
籌	Raise	Raising
綢	silk	silks
臭罌出臭草	Stinky stinky grass	Stinky Poppy
臭崩崩	Stench	Smelly Collapse
臭青	Stinky green	Smelly Blue
臭ჴ	Stinky	Stinky
抽秤	Scales	Pumping Scales
抽筋菜	Scrub	Cramping dish
湊夠一個好字	A good word	Enough a good word
醜頸	Ugly neck	Ugly neck
湊腳	Make up	Minato
醜怪	Ugly	Ugly
臭亨亨	Stinky	Stinky Heng
抽後腳	Pump	Pumped back foot
抽油	Pump	Oil Pumping
抽油煙機	Hood	Cooker Hoods
醜樣	Ugly	Ugly
抽佣	Take the commission	Draw commission
臭丸	Naphthalene balls	Smelly Pills
湊嘺	Make up	Minato
湊๺	凑 ๺ ๺	Minato
醜女	Ugly girl	Ugly
湊啱	Make up	Minato
臭烹烹	Stinky	Stinky cooking
臭屁蝲	Stinky	Stinky Ass
醜死鬼	Ugly	Ugly Ghost
抽水	Pump	Pumping
秋蟬	Autumn cicada	Autumn cicada
臭屎密⫏	Stinky shit ⫏ ⫏ ⫏	Stink
抽頭	Tap	TAPHEAD
臭狐	Stinky fox	Stinky Fox
綢仔	Silk	Silk
湊仔公	Kashi Gong	Minato
湊仔婆	Babies	Minato Tsai Po
唓	Bleak	
尺	ruler	Ruler
車	car	car
且	and	And
扯	pull	ripping
跙	Bleak	
೏	Bleak	
斜	incline	Oblique
輋	Bleak	Che
邪	evil	Evil
斜	incline	Oblique
斜	incline	Oblique
扯爆旗	Burst flag	Detonation Flag
扯鼻鼾	Snoring	Snoring
車嚫	Car	Chucks
邪場	Evil field	Evil Field
車大炮	Car cannon	car-cannon
車打芝士	Cheese	Cheddar (cheese)
扯得唔硬	Tough	Not hard.
車斗	Car	Car bucket
扯到硬晒	Tick	Tear Hard Sun
車飛	Car	Car Fly
扯火	Tumbling	Ripping Fire
車房	garage	Car room
車房仔	Hill	Car House
邪骨	Evil bone	Evil Bone
邪骨場	Evil field	Evil Bone Farm
邪骨妹	Evil girl	Evil Sisterhood
邪骨女	Evil girl	Evil Bone Girl
邪骨桑拿	Evil bone sauna	Evil Bone Sauna
扯蝦	Shock shrimp	Shrimps
扯行晒	Pull out	Diabolo
扯行晒旗	Pull the flag	Tear flag
扯起	Pull up	Rip
扯氣	Exhale	Pulling
車咹	Car	Chucks
車行	Car dealer	Car deed
扯人	Bleak	Ripping people
車友	Car friend	Bikers
車衣	Car jacket	Jerseys
車葉	Car	Car leaf
車衣婆	Car	Car Jersey
仄	narrow	
尺	ruler	Ruler
瘌	scabies	
赤	red	Red
呎	Foot	Ft.
尺	ruler	Ruler
車卡	bus pass	Car Cards
車冚	Car	Chucks
赤柱	Chinenia	STANLEY
扯旗	Tickle the flag	ripping flag
扯旗山	Banning mountain	Dialqi Mountain
扯旗山頂	Banning mountain top	Pull Flag Peak
車CAM	Car CAM	Car CAM
車CAM片	Car CAM film	Car CAM
赤麂	Red	Red Muntjac
赤口	Red mouth	Red mouth
赤鱲角	Red corner	Chek Lap Kok
仄紙	Puppet paper	Paper
扯⃇	扯 扯 ⃇	ripping
車厘茄	Cherry eggplant	Cherry tomato
車厘子	cherries	Cherries
車軨	Car	Chucks
車佬	Car	Trucker
斜路	Oblique road	Ramp
車轆	Car	Car Wheel
扯貓尾	Tail	Pulling Cat Tail
扯唔到旗	Pull to the flag	Don't get the flag
斜孭袋	Oblique bag	Crossbody Bags
車尾冚	Rear of the car	Tail-tail
車尾箱	Rear box	Tail box
扯唔起	Pull up	Ripped
扯唔硬	Tough	Rough hard
青	green	Cyan
請	please	Please
扯硬	Tickle	Hard ripping
扯硬晒	Tickle	Hard ripping
扯硬晒旗	Tickle the flag	ripping hard flag
青啤啤	Tsingtao Beer	Tsingtao Beer
請槍	Please	Gun, please.
青瓜椗	Cucumber	Cucumber
青蟹	Muddy crab	BLUE CRAB
請飲	Invite	Please drink
青靚白淨	Qingliang Baijing	White
請食無情雞	Please eat ruthless chicken	Eat ruthless chicken
請食檸檬	Please eat lemon	Eat Lemon
青頭女	Green head	Blue-headed Girl
青頭仔	Aoya	Tsing Tau Tsai
青竹蛇	Green bamboo snake	Bamboo Snake
扯↡旗	扯 ↡ ↡ ↡ ↡	ripping flag
催	Urge	Urging
吹	blow	Blowing
趨	Tend to	Trending
取	Pick	Take
娶	Marry	Marry
翠	emerald	Cui
脆	crisp	crunchy
趣	interest	Fun
捶	hammer	Whack
椎	Vertebral	Vertebra
槌	hammer	Mallet
錘	hammer	Hammer
鎚	hammer	Hammer
除	remove	Except
隨	Follow	With
ჴ	Bleak	
錘	hammer	Hammer
鎚	hammer	Hammer
吹爆	Blew	Blown
除笨有精	Different	In addition to stupid and fine
吹波波	Bleach	Blown Wave
吹波波機	Pyrone	Blowing Wave Machine
吹波膠	Bleach	Blown Wave Adhesive
吹波仔	Bo Bo Tsai	Blown Bobblows
催催貢	Urge	reminder
吹長雞	Long chicken	Blowing long chicken
除大赤肋	Dama Riba	In addition to large ribs
吹淡風	Blew	Blowing the Wind
隨得	Follow	As you can
吹得漲	Blew	Blowing up
除非 … ,唔 …	Unless ..., oh ...	Unless...
除非 … ,唔係就 …	Unless ..., it's ...	Unless...
吹風	Blow air	Blowing
吹雞	Blew	Blowing chicken
催谷	Rush	Valley
趣怪	Interesting	Funny
除鞋	Remove	Shoes Remover
隨口噏	Casual 噏	Suibite-guman
隨口噏,當祕笈	Candidate, be a secret	When the Secret
